"cl010055822",1865,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010055826",1700,1800,"Département des Peintures","bois","peinture","","","","","","","","",""
"cl010055837",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056047",1817,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056091",1600,1700,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056111",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056165",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056183",1849,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056189",1600,1700,"Département des Peintures","toile","peinture","religion/mythologie/magie/zodiaque","personnage mythologique","","","","","","",""
"cl010056192",1819,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056224",1800,1900,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056233",1822,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056273",1833,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056290",1798,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056291",1833,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056361",1755,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056365",1759,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056366",1700,1800,"Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056371",1765,"","Département des Peintures","toile","peinture","","","","","","","","",""
"cl010056481",1300,1400,"Département des Peintures","fresque","peinture","","","","","","","","",""
"cl010056897",1488,"","Département des Peintures","fond d'or sur bois (peuplier)","peinture","","","","","","","","",""
"cl010056911",1850,1900,"Département des Peintures","bois","peinture","paysage, phénomène naturel, élément du cosmos","paysage maritime","","","","","","",""
"cl010057366",1858,"","Département des Peintures","bois","peinture","","","","","","","","",""
"cl010057878",1500,1600,"Département des Peintures","bois (sapin)","peinture","","","","","","","","",""
"cl010061017",1758,"","Département des Peintures","huile sur toile","peinture","littérature/fantastique","portrait/personnage/nu","scène historique","scène/thème allégorique","portrait","scène histoire moderne","personnage masculin","scène histoire moderne",""
"cl010061318",1500,1600,"Département des Peintures","huile sur bois (peuplier)","peinture","","","","","","","","",""
"cl010061332",1530,1540,"Département des Peintures","huile sur toile (transposition (bois transposé sur toile))","peinture","religion/mythologie/magie/zodiaque","divinité/Trinité chrétienne","","","","","","",""
"cl010067164",1800,1825,"Département des Peintures","huile sur toile","peinture","paysage, phénomène naturel, élément du cosmos","religion/mythologie/magie/zodiaque","paysage (divers)","divinité païenne/antique","","","","",""
"cl010067318",1780,"","Département des Peintures","huile sur toile","peinture","portrait/personnage/nu","portrait de groupe","objet/instrument/mobilier/accessoire","","","","","",""
"cl010067417",1770,"","Département des Peintures","huile sur toile","peinture","architecture/jardin","portrait/personnage/nu","scène historique","architecture civile","personnage féminin","","","",""
"cl010067590",1800,1900,"Département des Peintures","huile sur toile","peinture","","","","","","","","",""
